marca,modelo,ano,cor,placa,chassi,valor_compra,valor_venda,status,observacoes
HONDA,PCX 160 ABS,2023/2023,BRANCA,,9C2KF5210PR006525,0,0,Com Pendência,
YAMAHA,XMAX,2024/2025,AZUL,TTD3D98,9C6SG8610S0000828,0,0,Vendida,
HONDA,POP 110I ES,2024/2025,PRETA,TTK0D02,9C2JB0100SR4416590,0,0,Vendida,
MXF,SHARK 1200,2025/2025,AMARELO,,N/LOCALIZADO,0,0,Vendida,
YAMAHA ,XTZ 150 CROSSER S,2019/2019,BRANCA,LMW6F75,9C6DG2570K0001754,0,0,Com Pendência,
YAMAHA,NMAX 160,2022/2022,BRANCA,RKJ6E85,9C6565910N0027935,0,0,Vendida,
YAMAHA,NMAX,2021/2021,AZUL ,RNL6B12,9C65G5910M0012189,0,0,Vendida,
HONDA,POP 110I ES,2024/2025,BRANCA,TVW0D59,9C2JB01005R256124,0,0,Vendida,
YAMAHA,XMAX,2022/2023,VERMELHA,RJU9H72,9C65G6210P0013033,0,0,Vendida,
HONDA,PCX 150 SPORT ABS,2020/2020,PRATA,LIL0H96,9C2KF3420LR001385,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2024/2025,AZUL,TTD2D72,9C2KF52205R002038,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2024/2025,AZUL,TUF0D61,9C2KF5220SR002257,0,0,Vendida,
YAMAHA,XMAX,2022/2022,VERMELHA,RKR6E53,9C6SG6210N0010598,0,0,Salão,
YAMAHA,YBR 150 FACTOR DX,2025/2025,PRATA,,9C6RG992050008279,0,0,Salão,
YAMAHA,CROSSER Z ABS,2025/2025,VERDE,,9C6DG25F0S0008128,0,0,Salão,
YAMAHA,LANDER XTZ,2025/2025,AZUL,,9C6DG3340S0014970,0,0,Salão,
YAMAHA,NMAX 160,2025/2025,PRATA,,9C6SG9110S0008330,0,0,Salão,
YAMAHA,NMAX,2025/2025,VERMELHA,,9C6SG9110S0004943,0,0,Salão,
YAMAHA,PCX 160 CBS,2025/2025,BRANCA,,9C2KF5200SR005234,0,0,Salão,
YAMAHA,XTZ150 CROSSER S,2019/2019,BRANCA,LMW-6F75,9C6DG2570K0001754,0,0,Oficina,
YAMAHA,LANDER 250 ,2020/2021,AZUL,RJF1B20,9C6DG3320MV025521,0,0,Vendida,
YAMAHA,XMAX,2024/2024,VERMELHA,SRR3I49,9C6SG6210R0026395,0,0,Vendida,
HONDA ,PCX 150 DLX ABS,2022/2022,PRATA,RKP7I69,9C2KF3410NR009715,0,0,Vendida,
HONDA,SAHARA RALLY ,2025/2025,VERMELHA,TU50I66,9C2ND17305R107412,0,0,Vendida,
BMW,RI250GS A,2023/2023,AZUL,SHX6F63,9920M1006PZ923502,0,0,Vendida,
HONDA,CG 160 FAN,2025/2025,VERMELHA,TTM-1A07,9C2KC2200SR248472,0,0,Salão,
YAMAHA,FZ25 FAZER,2025/2025,AZUL,TUK-1A12,9C6RG5040S0016855,0,0,Salão,
HONDA,CG 160 FAN ,2023/2023,PRATA,RKH9J49,9C2KC2200PR078884,0,0,Vendida,
HONDA,ADV 150,2023/2024,VERMELHA,SQZ-8F86,9C2KF4300RR004094,0,0,Salão,
KAWASAKI ,Z300 ABS,2018/2018,VERMELHA,QOI5B95,96PERHBI8JF500376,0,0,Vendida,
